experience,education,role,salary
1,Bachelors,Software Developer,35000
3,Masters,Data Scientist,65000
5,PhD,Machine Learning Engineer,120000
7,Masters,Web Developer,55000
2,Bachelors,Software Developer,40000
4,Bachelors,Web Developer,47000
6,Masters,Data Scientist,78000
8,PhD,Machine Learning Engineer,130000
10,PhD,Data Scientist,140000
12,PhD,Machine Learning Engineer,145000
1,Bachelors,Web Developer,36000
5,Masters,Software Developer,72000
9,Masters,Machine Learning Engineer,110000
3,Bachelors,Data Scientist,68000
2,Bachelors,Web Developer,45000
7,PhD,Data Scientist,90000
6,Masters,Software Developer,85000
4,Masters,Web Developer,49000
11,PhD,Machine Learning Engineer,135000
13,PhD,Data Scientist,150000
0,Bachelors,Web Developer,32000
8,Masters,Software Developer,95000
9,PhD,Machine Learning Engineer,125000
5,Bachelors,Software Developer,70000
3,Masters,Web Developer,60000
7,Masters,Data Scientist,87000
10,PhD,Machine Learning Engineer,132000
